satellite_id,OBJECT_NAME,OWNER,OBJECT_TYPE,ALTITUDE_MEAN_KM,INCLINATION,ORBIT_CLASS,collision_score,pc_annual,pc_annual_pct,n_events_total,n_high_risk,n_medium_risk,n_low_risk,n_emergency,avg_miss_distance_m,min_miss_distance_m,max_pc_event,max_pc_event_pct,events_per_month_estimated,data_quality,data_source,extrapolated,data_period_days,imputation_confidence,n_peers_used
70,SAMOS 2,US,PAYLOAD,180.0,97.22,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
71,SPUTNIK 7,CIS,PAYLOAD,238.0,64.9,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
77,SPUTNIK 8,CIS,PAYLOAD,205.5,65.01,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
81,EXPLORER 9,US,PAYLOAD,422.0,38.84,LEO,42.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_1,False,0,LOW,1.0
83,DISCOVERER 20,US,PAYLOAD,204.0,80.83,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
84,DISCOVERER 21,US,PAYLOAD,240.0,80.63,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
87,TRANSIT 3B & LOFTI 1,US,PAYLOAD,180.0,28.38,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
91,SPUTNIK 9,CIS,PAYLOAD,167.0,64.93,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
95,SPUTNIK 10,CIS,PAYLOAD,176.0,65.0,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
100,DISCOVERER 23,US,PAYLOAD,248.0,82.23,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
102,DISCOVERER 23 CAPSULE,US,PAYLOAD,189.0,81.88,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
103,VOSTOK 1,CIS,PAYLOAD,241.0,64.95,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
107,EXPLORER 11,US,PAYLOAD,824.0,28.79,LEO,70.2,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_2,False,0,LOW,2.0
108,DISCOVERER 25,US,PAYLOAD,187.0,82.11,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
116,TRANSIT 4A,US,PAYLOAD,921.0,66.81,LEO,83.6,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_17,False,0,MEDIUM,17.0
117,SOLRAD 3 & INJUN 1,US,PAYLOAD,928.0,66.81,LEO,83.6,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_17,False,0,MEDIUM,17.0
160,DISCOVERER 26,US,PAYLOAD,224.5,82.89,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
162,TIROS 3,US,PAYLOAD,741.5,47.9,LEO,80.4,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_2,False,0,LOW,2.0
168,VOSTOK 2,CIS,PAYLOAD,196.5,64.84,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
173,RANGER 1,US,PAYLOAD,339.0,32.93,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
180,EXPLORER 13,US,PAYLOAD,587.5,36.42,LEO,55.6,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_3,False,0,LOW,3.0
181,DISCOVERER 29,US,PAYLOAD,310.5,82.08,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
182,DISCOVERER 30,US,PAYLOAD,235.5,82.62,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
183,MERCURY ATLAS 4,US,PAYLOAD,195.0,32.54,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
186,DISCOVERER 31,US,PAYLOAD,256.5,82.68,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
189,DISCOVERER 32,US,PAYLOAD,218.0,81.64,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
197,DISCOVERER 34,US,PAYLOAD,225.0,82.49,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
201,DISCOVERER 35,US,PAYLOAD,216.0,81.63,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
202,TRANSIT 4B,US,PAYLOAD,1022.0,32.44,LEO,15.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
205,TRAAC,US,PAYLOAD,1026.5,32.44,LEO,15.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
208,MERCURY ATLAS 5,US,PAYLOAD,197.5,32.6,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
213,DISCOVERER 36,US,PAYLOAD,200.5,81.18,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
214,OSCAR 1,US,PAYLOAD,207.0,81.14,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
215,DISCOVERER 36 CAPSULE,US,PAYLOAD,281.0,81.21,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
217,SAMOS 5,US,PAYLOAD,182.0,89.66,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
226,TIROS 4,US,PAYLOAD,735.5,48.3,LEO,80.4,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_2,False,0,LOW,2.0
240,MERCURY ATLAS 6,US,PAYLOAD,199.5,32.54,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
242,FTV 2301,US,PAYLOAD,194.5,81.94,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
247,DISCOVERER 38,US,PAYLOAD,191.5,82.23,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
266,COSMOS 1 (SPUTNIK 11),CIS,PAYLOAD,261.5,48.99,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
269,COSMOS 2 (SPUTNIK 12),CIS,PAYLOAD,194.0,48.86,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
276,FTV 1154,US,PAYLOAD,180.5,73.56,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
281,COSMOS 3 (SPUTNIK 13),CIS,PAYLOAD,223.0,48.95,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
285,ARIEL 1 (UK-1),UK,PAYLOAD,188.0,53.76,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
287,COSMOS 4 (SPUTNIK 14),CIS,PAYLOAD,195.0,65.0,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
290,FTV 1125,US,PAYLOAD,267.5,73.07,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
292,FTV 1126,US,PAYLOAD,201.0,82.29,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
295,MERCURY ATLAS 7,US,PAYLOAD,205.5,32.6,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
297,COSMOS 5 (SPUTNIK 15),CIS,PAYLOAD,207.5,48.96,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
302,FTV 1128,US,PAYLOAD,171.0,74.1,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
304,FTV 1127,US,PAYLOAD,216.0,74.25,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
305,OSCAR 2 (OSCAR II),US,PAYLOAD,201.0,74.27,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
307,SAMOS 8 (FTV 2402),US,PAYLOAD,199.0,96.3,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
308,FTV 2312,US,PAYLOAD,165.5,82.15,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
309,TIROS 5,US,PAYLOAD,693.0,58.09,LEO,84.4,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_4,False,0,LOW,4.0
315,FTV 1129,US,PAYLOAD,187.0,75.09,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
316,FTV 1151,US,PAYLOAD,163.0,76.01,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
338,COSMOS 6 (SPUTNIK 16),CIS,PAYLOAD,189.0,48.95,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
343,SAMOS 9 (FTV 2403),US,PAYLOAD,189.0,96.11,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
345,FTV 1131,US,PAYLOAD,189.0,71.09,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
346,COSMOS 7 (SPUTNIK 17),CIS,PAYLOAD,276.5,64.95,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
360,FTV 1152,US,PAYLOAD,204.5,82.25,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
361,SAMOS 10 (FTV 2404),US,PAYLOAD,203.0,96.3,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
363,VOSTOK 3,CIS,PAYLOAD,179.0,64.96,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
365,VOSTOK 4,CIS,PAYLOAD,186.5,65.0,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
367,COSMOS 8 (SPUTNIK 18),CIS,PAYLOAD,177.5,48.92,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
369,FTV 3502,US,PAYLOAD,594.5,98.49,LEO,80.4,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_20,False,0,MEDIUM,20.0
377,FTV 1153,US,PAYLOAD,170.5,65.21,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
381,SPUTNIK 20,CIS,PAYLOAD,216.5,64.8,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
385,FTV 1132,US,PAYLOAD,219.0,82.79,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
