NORAD_CAT_ID,OBJECT_NAME,OWNER,OBJECT_TYPE,OPS_STATUS_CODE,LAUNCH_DATE,LAUNCH_SITE,LAUNCH_YEAR,PERIOD,INCLINATION,APOGEE,PERIGEE,ALTITUDE_MEAN_KM,ORBIT_CLASS
103,VOSTOK 1,CIS,PAYLOAD,D,1961-04-12,TYMSC,1961,89.33,64.95,314.0,168.0,241.0,LEO
107,EXPLORER 11,US,PAYLOAD,,1961-04-27,AFETR,1961,101.37,28.79,1185.0,463.0,824.0,LEO
108,DISCOVERER 25,US,PAYLOAD,D,1961-06-16,AFWTR,1961,88.23,82.11,187.0,187.0,187.0,LEO
110,PIONEER 1,US,PAYLOAD,D,1958-10-11,AFETR,1958,,,,,,
111,PIONEER 3,US,PAYLOAD,D,1958-12-06,AFETR,1958,,,,,,
116,TRANSIT 4A,US,PAYLOAD,,1961-06-29,AFETR,1961,103.43,66.81,971.0,871.0,921.0,LEO
117,SOLRAD 3 & INJUN 1,US,PAYLOAD,,1961-06-29,AFETR,1961,103.59,66.81,980.0,876.0,928.0,LEO
160,DISCOVERER 26,US,PAYLOAD,D,1961-07-07,AFWTR,1961,88.99,82.89,267.0,182.0,224.5,LEO
162,TIROS 3,US,PAYLOAD,-,1961-07-12,AFETR,1961,99.64,47.9,773.0,710.0,741.5,LEO
168,VOSTOK 2,CIS,PAYLOAD,D,1961-08-06,TYMSC,1961,88.42,64.84,239.0,154.0,196.5,LEO
173,RANGER 1,US,PAYLOAD,D,1961-08-23,AFETR,1961,91.31,32.93,506.0,172.0,339.0,LEO
180,EXPLORER 13,US,PAYLOAD,D,1961-08-25,WLPIS,1961,96.43,36.42,810.0,365.0,587.5,LEO
181,DISCOVERER 29,US,PAYLOAD,D,1961-08-30,AFWTR,1961,90.73,82.08,490.0,131.0,310.5,LEO
182,DISCOVERER 30,US,PAYLOAD,D,1961-09-12,AFWTR,1961,89.21,82.62,281.0,190.0,235.5,LEO
183,MERCURY ATLAS 4,US,PAYLOAD,D,1961-09-13,AFETR,1961,88.4,32.54,241.0,149.0,195.0,LEO
186,DISCOVERER 31,US,PAYLOAD,D,1961-09-17,AFWTR,1961,89.63,82.68,304.0,209.0,256.5,LEO
189,DISCOVERER 32,US,PAYLOAD,D,1961-10-13,AFWTR,1961,88.87,81.64,232.0,204.0,218.0,LEO
197,DISCOVERER 34,US,PAYLOAD,D,1961-11-05,AFWTR,1961,89.0,82.49,246.0,204.0,225.0,LEO
201,DISCOVERER 35,US,PAYLOAD,D,1961-11-15,AFWTR,1961,88.82,81.63,216.0,216.0,216.0,LEO
202,TRANSIT 4B,US,PAYLOAD,,1961-11-15,AFETR,1961,105.59,32.44,1097.0,947.0,1022.0,LEO
205,TRAAC,US,PAYLOAD,,1961-11-15,AFETR,1961,105.68,32.44,1102.0,951.0,1026.5,LEO
206,RANGER 2,US,PAYLOAD,D,1961-11-18,AFETR,1961,87.68,33.34,169.0,149.0,159.0,LEO
