CDM_ID,CREATED,EMERGENCY_REPORTABLE,MIN_RNG,PC,SAT1_OBJECT_TYPE,SAT1_RCS,SAT2_OBJECT_TYPE,SAT2_RCS,SAT_1_EXCL_VOL,SAT_1_ID,SAT_1_NAME,SAT_2_EXCL_VOL,SAT_2_ID,SAT_2_NAME,TCA
1170038142,2025-09-28 13:37:05.000000,Y,843,0.0001839982,DEBRIS,SMALL,PAYLOAD,SMALL,1.00,30284,FENGYUN 1C DEB,5.00,27846,AAU CUBESAT,2025-09-28T19:51:29.173000
1170035045,2025-09-28 13:36:26.000000,Y,843,0.0001839982,PAYLOAD,SMALL,DEBRIS,SMALL,5.00,27846,AAU CUBESAT,1.00,30284,FENGYUN 1C DEB,2025-09-28T19:51:29.173000
1168548448,2025-09-27 06:26:46.000000,Y,931,0.0001781882,DEBRIS,SMALL,PAYLOAD,SMALL,1.00,30284,FENGYUN 1C DEB,5.00,27846,AAU CUBESAT,2025-09-28T19:51:29.178000
1168545289,2025-09-27 06:25:58.000000,Y,931,0.0001781882,PAYLOAD,SMALL,DEBRIS,SMALL,5.00,27846,AAU CUBESAT,1.00,30284,FENGYUN 1C DEB,2025-09-28T19:51:29.178000
1168165800,2025-09-27 00:24:16.000000,Y,914,0.0001652801,DEBRIS,SMALL,PAYLOAD,SMALL,1.00,30284,FENGYUN 1C DEB,5.00,27846,AAU CUBESAT,2025-09-28T19:51:29.187000
1168162627,2025-09-27 00:23:40.000000,Y,914,0.0001652801,PAYLOAD,SMALL,DEBRIS,SMALL,5.00,27846,AAU CUBESAT,1.00,30284,FENGYUN 1C DEB,2025-09-28T19:51:29.187000
