Mission name,Organisation,Nation,Type (U/mass),Launch date,Status,Mission description,Photo
Mission name,Organisation,Nation,Type (U/mass),Launch date,Status,Mission description,Photo
"STARS-1 Daughter (KUKAI, KAI, Space Tethered Autonomous Robotic Satellite 1)",Kagawa University,Japan,3.8 kg,2009-01-23,"Reentered, Was operational",Two satellite system connected with 5 meter tether.,
"STARS-1 Mother (STARS-C, KUKAI, KU, Space Tethered autonomous Robotic Satellite 1)",Kagawa University,Japan,4.2 kg,2009-01-23,"Reentered, Was operational",Two satellite system connected with 5 meter tether.,
AeroCube-3,Aerospace Corporation,US,1U,2009-05-19,"Reentered, Was semi-operational, Was operational",Tethered to the upper stage to image the launcher and ADCS sensor experiment.,
CP6 (Polysat),California Polytechnic State University (Cal Poly),US,1U,2009-05-19,"Reentered, Operational",Backup to CP3 with focus on ADCS and deployment of spring steel tapes.,
HawkSat I,Hawk Institute of Space Sciences,US,1U,2009-05-19,"Reentered, No signal",Demonstrate CubeSat platform technologies and materials experiment.,
PharmaSat 1 (GeneSat-2),NASA Ames Research Center,US,3U,2009-05-19,"Reentered, Was operational",Controlled environment micro-laboratory packed with sensors and optical systems.,
"AggieSat2 (Dragonsat 2, AggiSat-2)",Texas A&M University,US,3.2 kg,2009-07-15,"Reentered, Operational",Educational space systems engineering and GPS receiver testing.,
BEVO 1 (DragonSat 1),University of Texas at Austin,US,3.5 kg,2009-07-15,"Reentered, No signal, Deployment failure",Educational space systems engineering and GPS receiver testing.,
BEESAT-1,Technical University of Berlin,Germany,1U,2009-09-23,Operational,Demonstrate CubeSat platform technologies and verification of reaction wheels.,
ITUpSAT-1,ITU (Istanbul Technical University),Turkey,1U,2009-09-23,Operational,Educational space systems engineering and CMOS camera.,
SwissCube,Swiss Federal Institute of Technology in Lausanne (EFPL),Switzerland,1U,2009-09-23,Operational,Educational space systems engineering and camera to image nightglow phenomena.,
UWE-2,University of Würzburg,Germany,1U,2009-09-23,Was operational,Demonstrate CubeSat platform technologies with focus on ADCS.,
"KSat (Hayato, Kagoshima Satellite, K-Sat)",Kagoshima University,Japan,1U,2010-05-20,"Reentered, Was operational",Demonstrate atmospheric water vapour measurements and Ku-band transmitter.,
Negai (Negai-Star),Soka University,Japan,1U,2010-05-20,"Reentered, Operational",Commercial FPGA and camera.,
Waseda-SAT2,Waseda University,Japan,1U,2010-05-20,"Reentered, No signal",Demonstrate CubeSat platform technologies and paddles for attitude control.,
AISSat-1,Norwegian Space Centre,Norway,7 kg,2010-07-12,Was operational,Demonstrate space-based AIS detection.,
StudSat-1 (Student Satellite-1),Nitte Meenakshi Institute of Technology,India,1U,2010-07-12,Was semi-operational,Educational space systems engineering and CMOS camera.,
TISAT-1 (Ticino Satellite-1),University of Applied Sciences of Southern Switzerland (SUPSI),Switzerland,1U,2010-07-12,Operational,Materials experiment to monitor atomic oxygen effects.,
"ZDPS 1A 01 (Zheda Pixing, Pixing 1)",Zhejiang University,China,3.5 kg,2010-09-22,Was operational,"Demonstrate platform technologies with focus on camera, COTS components and ADCS.",
"ZDPS 1A 02 (Zheda Pixing, Pixing 1)",Zhejiang University,China,3.5 kg,2010-09-22,Was operational,"Demonstrate platform technologies with focus on camera, COTS components and ADCS.",
NanoSail-D2,NASA Marshall Space Flight Center,US,3U,2010-11-20,Was operational,Deploy solar sail for deorbiting.,
O/OREOS,NASA Ames Research Center,US,3U,2010-11-20,"Operational, ?",Demonstrate technologies for astrobiology experiments.,
RAX (Radio Aurora eXplorer),University of Michigan,US,3U,2010-11-20,Was operational,Investigate causes of upper atmospheric/ionospheric plasma turbulence by studying large plasma formations.,
Caerus-Mayflower (Mayflower-Caerus),Northrop Grumman,US,3U,2010-12-08,"Reentered, Operational",Demonstrate CubeSat platform technologies for educational purposes.,
Perseus 000,Los Alamos National Laboratory (LANL),US,1.5U,2010-12-08,"Reentered, Operational",Demonstrate CubeSat platform technologies and development methodologies.,
Perseus 001,Los Alamos National Laboratory (LANL),US,1.5U,2010-12-08,"Reentered, Operational",Demonstrate CubeSat platform technologies and development methodologies.,
Perseus 002,Los Alamos National Laboratory (LANL),US,1.5U,2010-12-08,"Reentered, Operational",Demonstrate CubeSat platform technologies and development methodologies.,
Perseus 003,Los Alamos National Laboratory (LANL),US,1.5U,2010-12-08,"Reentered, Operational",Demonstrate CubeSat platform technologies and development methodologies.,
QbX-1,US Naval Research Laboratory,US,3U,2010-12-08,"Reentered, Operational",Communications payload and experiments.,
QbX-2,US Naval Research Laboratory,US,3U,2010-12-08,"Reentered, Operational",Communications payload and experiments.,
SMDC-ONE 1 (Space & Missile Defense Command-Operational Nanosatellite Effect),US Army Space and Missile Defense Command,US,3U,2010-12-08,"Reentered, Operational",Demonstrate the ability to rapidly design and develop militarily relevant low cost spacecraft and communications relay.,
"E1P (HRBE, Explorer-1 Prime, Hiscock Radiation Belt Explorer)",Montana State University,US,1U,2011-03-04,Launch failure,Detect the Van Allen radiation belts in honor of the 50th anniversary of Explorer-1.,
Hermes 1,University of Colorado Boulder,US,1U,2011-03-04,Launch failure,Demonstrate CubeSat platform technologies and high data-rate communication system.,
KySat-1 (KatySat 1),Kentucky universities,US,1U,2011-03-04,Launch failure,Educational outreach using mobile ground stations taken to schools.,
"PSSC-2 (Pico Satellite Solar Cell Testbed-2, PSSC Testbed-2, PSSCT-2, PSSC2)",Aerospace Corporation,US,3.7 kg,2011-07-20,"Reentered, Operational",Risk reduction for SENSE and CTECS sensors and characterizing solar cells.,
