NORAD_CAT_ID,OBJECT_NAME,OWNER,OBJECT_TYPE,OPS_STATUS_CODE,LAUNCH_DATE,LAUNCH_YEAR,AGE_YEARS,ALTITUDE_MEAN_KM,INCLINATION,APOGEE,PERIGEE,PERIOD,ORBIT_CLASS,LAUNCH_MASS_KG,MASS_SOURCE,EXPECTED_LIFETIME_YEARS,CONTRACTOR_TIER,OPERATOR_TIER,PURPOSE,DATA_COMPLETENESS_SCORE,MASS_ESTIMATED,TIER_INFERRED,PURPOSE_INFERRED,LIFETIME_ESTIMATED
57,DISCOVERER 15,US,PAYLOAD,D,1960-09-13,1960,65.08418891170432,224.0,80.9,315.0,133.0,88.97,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
58,COURIER 1B,US,PAYLOAD,,1960-10-04,1960,65.02669404517454,1085.0,28.33,1208.0,962.0,106.95,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
60,EXPLORER 8,US,PAYLOAD,D,1960-11-03,1960,64.94455852156058,167.5,49.88,177.0,158.0,87.84,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
61,DISCOVERER 17,US,PAYLOAD,D,1960-11-12,1960,64.91991786447639,196.0,81.86,226.0,166.0,88.41,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
63,TIROS 2,US,PAYLOAD,D,1960-11-23,1960,64.88980150581793,161.5,48.44,163.0,160.0,87.72,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
65,SPUTNIK 6,CIS,PAYLOAD,D,1960-12-01,1960,64.86789869952088,194.5,65.0,218.0,171.0,88.38,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
67,DISCOVERER 18,US,PAYLOAD,D,1960-12-07,1960,64.85147159479808,229.0,81.48,279.0,179.0,89.08,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
68,DISCOVERER 19,US,PAYLOAD,D,1960-12-20,1960,64.81587953456537,243.0,83.4,307.0,179.0,89.36,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
70,SAMOS 2,US,PAYLOAD,D,1961-01-31,1961,64.70088980150582,180.0,97.22,185.0,175.0,88.09,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
71,SPUTNIK 7,CIS,PAYLOAD,D,1961-02-04,1961,64.68993839835728,238.0,64.9,296.0,180.0,89.26,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
77,SPUTNIK 8,CIS,PAYLOAD,D,1961-02-12,1961,64.66803559206024,205.5,65.01,242.0,169.0,88.61,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
81,EXPLORER 9,US,PAYLOAD,D,1961-02-16,1961,64.65708418891171,422.0,38.84,559.0,285.0,93.01,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
83,DISCOVERER 20,US,PAYLOAD,D,1961-02-17,1961,64.65434633812457,204.0,80.83,204.0,204.0,88.58,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
84,DISCOVERER 21,US,PAYLOAD,D,1961-02-18,1961,64.65160848733744,240.0,80.63,276.0,204.0,89.3,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
87,TRANSIT 3B & LOFTI 1,US,PAYLOAD,D,1961-02-22,1961,64.64065708418892,180.0,28.38,225.0,135.0,88.09,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
